username,fans,year,views,likes,coins,collects,part
小透明明TM,1198000,2021,101603000.0,6320098.0,2968082.0,1285425.0,知识
小透明明TM,2202000,2023,224407000.0,13472098.0,6022082.0,3147132.0,知识
尔东和小明,874000,2022,82734000.0,7254087.0,5110103.0,1576454.0,音乐
尴尬的铁根er,2841000,2022,1637908000.0,53982202.0,3591041.0,3274798.0,游戏
尴尬的铁根er,4614000,2023,2493364000.0,84460202.0,4822551.0,5330027.0,游戏
山城小栗旬的理发日记,3413000,2022,382748000.0,23100000.0,2239818.0,1310897.0,时尚
布锅锅,1217000,2021,461885731.0,18742161.0,4356380.0,1736980.0,游戏
布锅锅,1675000,2023,813751731.0,32353673.0,6677078.0,2695473.0,游戏
帅soserious,2193000,2021,131669000.0,5642062.0,3729853.0,5893638.0,运动
帅soserious,3101000,2022,181866000.0,7897062.0,4758853.0,7431638.0,运动
帅农鸟哥,2977000,2022,223054000.0,18334000.0,4117808.0,1134866.0,生活
帕梅拉PamelaReif,7045000,2021,445359000.0,5329533.0,1827212.0,24841930.0,运动
幾加乘,1134000,2021,84278000.0,7802000.0,4129390.0,1569796.0,动画
影视飓风,3771000,2021,284060000.0,16214505.0,9021907.0,4849635.0,科技
影视飓风,5422000,2022,466610000.0,30221505.0,16965375.0,8016276.0,科技
影视飓风,7505000,2023,704408000.0,47047505.0,24554660.0,11761678.0,科技
徐大花xudahua,1306000,2023,144981000.0,10237243.0,1087748.0,2027942.0,生活
徐大虾咯,7832000,2022,1097914000.0,53501778.0,16218131.0,7487698.0,游戏
怕上火暴王老菊,2506000,2022,671041000.0,15355772.0,17668892.0,5696803.0,游戏
思维实验室,6397000,2023,308448000.0,15741499.0,7688026.0,4622028.0,知识
怪力老陈,1170000,2022,70637000.0,5092254.0,1859147.0,994665.0,时尚
我是郭杰瑞,7070000,2021,891809000.0,37355321.0,10705008.0,2705347.0,生活
手工耿,7018000,2022,769630000.0,44759000.0,16890265.0,3746019.0,生活
手工耿,7822000,2023,866400000.0,51817000.0,19497619.0,4491724.0,生活
才疏学浅的才浅,3970000,2021,148874000.0,16383838.0,17063238.0,4718225.0,生活
拉宏桑,3344000,2022,319074000.0,23494814.0,6194458.0,2079914.0,生活
拜托了小翔哥,4437000,2021,326890000.0,19475858.0,7323727.0,1563192.0,美食
无穷小亮的科普日常,6483000,2021,516088000.0,29184000.0,3353031.0,2212916.0,知识
无穷小亮的科普日常,8403000,2022,740662000.0,49646000.0,5247612.0,3709887.0,知识
日食记,6465000,2021,327765622.0,13487320.0,5270340.0,6157173.0,美食
日食记,8293000,2023,485945622.0,23445320.0,8486048.0,8355623.0,美食
星有野,2396000,2021,242114000.0,13988000.0,5203000.0,2402409.0,动画
星有野,3948000,2022,610935000.0,37332000.0,9842000.0,5716409.0,动画
星有野,5016000,2023,908378000.0,58046000.0,12874363.0,8373442.0,动画
晓观队长,1162000,2022,69734000.0,3744184.0,1455225.0,2554553.0,时尚
晓观队长,1686000,2023,117559000.0,5853184.0,1980115.0,3779918.0,时尚
暗猫の祝福,1937000,2023,177192000.0,12353346.0,9730960.0,8153550.0,动画
朝烟今天唱歌了没,1434000,2021,71088000.0,3694000.0,1224322.0,602808.0,音乐
木鱼水心,8332000,2021,1272429000.0,47189209.0,28588531.0,12197065.0,影视
木鱼水心,9737000,2022,1419284000.0,57508209.0,35976443.0,13575223.0,影视
木鱼水心,12124000,2023,1563627000.0,68882209.0,44214443.0,16362223.0,影视
本喵叫兔兔,2107000,2022,387228000.0,35514000.0,8280674.0,1726583.0,动物圈
本喵叫兔兔,2710000,2023,528668000.0,51723000.0,12216555.0,2495277.0,动物圈
朵朵花林,708000,2021,38233000.0,2876307.0,1326667.0,1025193.0,时尚
朵朵花林,1447000,2023,94530000.0,8363212.0,3028755.0,2231478.0,时尚
机智的Kason,1105000,2021,129059000.0,7997000.0,3593237.0,1759755.0,生活
李白尼的猜想,2507000,2023,271892000.0,10722117.0,2141194.0,3897471.0,知识
杨可爱Ukulele,1060000,2021,94637000.0,6016229.0,5120500.0,3034855.0,音乐
极客湾Geekerwan,2356000,2021,183672000.0,6475228.0,3776942.0,1927448.0,科技
极客湾Geekerwan,2964000,2022,264692000.0,10384228.0,5625147.0,2667534.0,科技
极客湾Geekerwan,3722000,2023,363753000.0,14686228.0,7091888.0,3371746.0,科技
极速拍档,1685000,2021,259626000.0,10022576.0,4775509.0,1588960.0,汽车
极速拍档,1685000,2023,410631000.0,18204576.0,8748735.0,2743955.0,汽车
枪弹轨迹,2554000,2021,430445000.0,24558055.0,7616183.0,6614315.0,鬼畜
某幻君,7231000,2021,765122000.0,43564046.0,22911850.0,11149935.0,游戏
某幻君,7691000,2022,880234000.0,52165046.0,27438850.0,13457935.0,游戏
某幻君,8470000,2023,989224000.0,58771046.0,29826850.0,15311935.0,游戏
柳青瑶本尊,886000,2021,87721000.0,4023868.0,2856965.0,2497908.0,音乐
柿子菌meow,1442000,2022,187952000.0,10618789.0,1223569.0,1260862.0,动物圈
森纳映画,1665000,2021,273190000.0,12035867.0,4134272.0,2689594.0,游戏
森纳映画,2116000,2022,358085000.0,16923867.0,5577161.0,3626947.0,游戏
欧阳春晓Aurora,3998000,2022,367410000.0,10105031.0,3549138.0,19867805.0,运动
欧阳春晓Aurora,5342000,2023,408356000.0,12033031.0,3834300.0,21734172.0,运动
